,0
Albania,0.41620017557415656
Angola,0.18835107097269213
Argentina,-0.275275561749997
Armenia,0.7775673512789167
Barbados,0.3209185185219799
Belize,0.5921739960710102
Benin,0.0554664780776398
Bolivia,0.5623300960141928
Bosnia and Herzegovina,0.582295456516178
Botswana,0.07085723694740605
Brazil,-0.008042994127872157
Cambodia,0.07735196238212642
Cameroon,-0.03924832697160378
Dominican Republic,0.6197953168577591
Ecuador,0.7167890406476906
Fiji,0.7056695278281263
Gabon,0.08371985568877618
Ghana,-0.1665717714639836
Guinea,0.05571446417947178
Haiti,-0.5306252023352934
India,0.1184110818620948
Indonesia,-0.20944977300265222
Kazakhstan,0.16622079535634884
Kenya,0.3282996173764609
Lebanon,0.520112597167969
Madagascar,0.15609340814763242
Malaysia,0.36056599632883235
Marshall Islands,-0.492618908269614
Moldova,-0.02816486293972383
Mongolia,0.7280074442348904
Montenegro,0.6318975926093802
Morocco,0.6394090712807515
Mozambique,0.36324036167027934
Myanmar,0.04096466737952678
Namibia,-0.21218959097107176
Nigeria,0.7577408426946941
Panama,0.5611569087814385
Peru,0.7785049212143987
Qatar,0.24523995041042795
Rwanda,0.22217476498462183
